City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Mar Del Plata,AR,-38.0023,-57.5575,78.94,72,0,5.75,clear sky
184,Muli,MV,2.9167,73.5667,81.59,71,100,11.36,light rain
185,Esso,RU,55.9333,158.7,-6.47,100,98,3.71,overcast clouds
186,Acobamba,PE,-11.3525,-75.6594,63.03,56,85,7.4,overcast clouds
187,Kroya,ID,-7.6331,109.2461,76.15,90,100,2.91,overcast clouds
188,Manitouwadge,CA,49.1215,-85.8403,29.89,91,82,7.52,broken clouds
189,Titusville,US,28.6122,-80.8075,80.22,47,0,9.22,clear sky
190,Wajima,JP,37.4,136.9,38.88,55,99,13.13,overcast clouds
191,Toamasina,MG,-18.1667,49.3833,78.8,89,75,4.61,light rain
192,Faya,SA,18.3851,42.4509,60.91,68,97,3.29,overcast clouds
193,Kaitangata,NZ,-46.2817,169.8464,47.26,75,44,13.76,scattered clouds
194,Rock Falls,US,41.7798,-89.689,39.4,76,0,5.75,clear sky
195,San Cristobal,VE,7.7669,-72.225,75.38,40,88,8.66,overcast clouds
196,Souillac,MU,-20.5167,57.5167,80.98,74,40,4.61,light rain
197,Georgetown,MY,5.4112,100.3354,82.33,94,20,3.44,few clouds
198,Lydenburg,ZA,-25.0978,30.4597,63.86,93,94,1.95,light rain
199,Nelson Bay,AU,-32.7167,152.15,73.99,84,36,10.0,scattered clouds
200,Mayo,US,38.8876,-76.5119,63.01,52,0,10.36,clear sky
201,Boende,CD,-0.2167,20.8667,82.42,52,84,3.67,broken clouds
202,Kahului,US,20.8947,-156.47,73.85,78,20,13.8,few clouds
203,Pacific Grove,US,36.6177,-121.9166,55.42,72,0,11.99,clear sky
204,Khelyulya,RU,61.7333,30.6833,32.94,99,100,6.62,overcast clouds
205,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,14.97,light snow
206,Ippy,CF,6.2679,21.2247,88.84,11,50,3.71,scattered clouds
207,Kavaratti,IN,10.5669,72.642,79.84,74,60,9.82,broken clouds
208,Klaksvik,FO,62.2266,-6.589,38.32,66,76,32.32,broken clouds
209,Shimoda,JP,34.6667,138.95,43.11,66,84,11.16,broken clouds
210,Tuatapere,NZ,-46.1333,167.6833,45.52,86,92,9.84,overcast clouds
211,Ejido,VE,8.5514,-71.2375,79.45,56,32,5.06,scattered clouds
212,Birjand,IR,32.8663,59.2211,50.47,34,0,6.91,clear sky
213,Guanhaes,BR,-18.775,-42.9325,77.99,77,96,3.29,overcast clouds
214,Port Hardy,CA,50.6996,-127.4199,32.18,100,75,2.3,broken clouds
215,Marinette,US,45.1,-87.6307,37.89,69,0,8.05,clear sky
216,Ballina,AU,-28.8667,153.5667,67.01,99,49,7.67,scattered clouds
217,Kasempa,ZM,-13.4584,25.8338,65.05,95,60,5.19,moderate rain
218,Gigmoto,PH,13.7796,124.39,77.27,77,100,11.23,overcast clouds
219,General Roca,AR,-39.0333,-67.5833,93.61,18,0,9.69,clear sky
220,Santa Rosa,PH,14.3122,121.1114,77.11,76,100,12.19,overcast clouds
221,Mareeba,AU,-17.0,145.4333,76.44,90,98,2.1,overcast clouds
222,Taldan,RU,53.6667,124.8,-24.27,100,31,1.66,scattered clouds
223,Puerto Ayora,EC,-0.7393,-90.3518,84.16,89,93,8.01,light rain
224,Chokurdakh,RU,70.6333,147.9167,-27.09,98,100,5.59,overcast clouds
225,Dikson,RU,73.5069,80.5464,3.42,79,100,15.9,overcast clouds
226,Sao Filipe,CV,14.8961,-24.4956,70.16,66,80,6.13,broken clouds
227,Kruisfontein,ZA,-34.0033,24.7314,69.89,70,100,12.91,overcast clouds
228,Nampula,MZ,-15.1165,39.2666,71.55,100,75,9.22,moderate rain
229,Grobina,LV,56.5352,21.1678,35.38,87,100,17.27,overcast clouds
230,Paamiut,GL,61.994,-49.6678,24.39,82,100,32.08,light snow
231,Wasilla,US,61.5814,-149.4394,21.31,88,100,8.05,snow
232,Ambon,ID,-3.6954,128.1814,73.54,94,40,2.3,moderate rain
233,Alto Araguaia,BR,-17.3147,-53.2153,83.53,58,85,4.76,overcast clouds
234,Sungairaya,ID,0.7,108.9,77.23,89,94,3.2,overcast clouds
235,Sovetskiy,RU,61.3614,63.5842,10.8,94,82,6.78,broken clouds
236,Mishan,CN,45.55,131.8833,1.8,96,89,6.44,overcast clouds
237,Cochrane,CA,51.1834,-114.4687,30.2,73,100,12.66,overcast clouds
238,Channel-Port Aux Basques,CA,47.5702,-59.1367,26.33,87,99,8.32,overcast clouds
239,Bairiki,KI,1.3292,172.9752,80.6,83,20,16.11,few clouds
240,Chase,CA,50.8165,-119.6857,31.32,93,83,3.71,broken clouds
241,Trinidad,BO,-14.8333,-64.9,85.98,70,75,4.61,broken clouds
242,Zyryanovsk,KZ,49.7386,84.2719,10.53,98,100,1.79,overcast clouds
243,Aden,YE,12.7794,45.0367,76.69,71,7,1.43,clear sky
244,Saint George,US,37.1041,-113.5841,44.44,54,0,0.0,clear sky
245,Taoudenni,ML,22.6783,-3.9836,78.37,11,81,10.11,broken clouds
246,Otjimbingwe,NA,-22.35,16.1333,80.78,47,11,20.36,few clouds
247,Chabahar,IR,25.2919,60.643,72.97,79,18,5.12,few clouds
248,Grootfontein,NA,-19.5667,18.1167,74.64,62,88,5.91,overcast clouds
249,Baiyin,CN,36.5583,104.2081,19.44,89,18,4.52,few clouds
250,Liuzhou,CN,24.3126,109.3892,58.12,97,99,3.29,overcast clouds
251,Manavalakurichi,IN,8.1333,77.3,76.77,75,83,4.81,broken clouds
252,Kalabo,ZM,-14.97,22.6814,70.47,87,85,6.46,moderate rain
253,San Vicente,AR,-26.6167,-54.1333,95.0,19,1,4.09,clear sky
254,Husavik,IS,66.0449,-17.3389,21.61,76,56,13.02,broken clouds
255,Manggar,ID,-2.8833,108.2667,78.39,85,67,5.79,broken clouds
256,Padang,ID,-0.9492,100.3543,77.05,86,34,4.05,moderate rain
257,Vestmanna,FO,62.1564,-7.1664,34.72,64,40,18.41,light snow
258,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.44,66,95,8.77,overcast clouds
259,Galle,LK,6.0367,80.217,78.06,85,100,0.34,overcast clouds
260,Alugan,PH,12.2188,125.4808,77.18,84,100,13.91,overcast clouds
261,Rundu,NA,-17.9333,19.7667,76.39,66,93,4.25,overcast clouds
262,Nesbyen,NO,60.5681,9.1027,41.36,82,90,15.12,overcast clouds
263,Cairns,AU,-16.9167,145.7667,81.07,96,40,1.14,scattered clouds
264,Ibra,OM,22.6906,58.5334,77.38,26,26,5.91,scattered clouds
265,Kyshtovka,RU,56.555,76.6271,-14.12,100,95,3.47,overcast clouds
266,Vao,NC,-22.6667,167.4833,77.94,83,100,15.84,overcast clouds
267,Tasiilaq,GL,65.6145,-37.6368,3.36,56,0,9.08,clear sky
268,Skegness,GB,53.1436,0.3363,42.82,74,63,15.52,broken clouds
269,Port Said,EG,31.2565,32.2841,53.58,62,40,10.36,scattered clouds
270,Krasnoselkup,RU,65.7,82.4667,-8.0,97,100,11.59,overcast clouds
271,Masakin,TN,35.7292,10.5808,51.26,100,75,29.93,shower rain
272,Saldanha,ZA,-33.0117,17.9442,86.05,79,35,17.07,scattered clouds
273,Salinopolis,BR,-0.6136,-47.3561,82.15,73,88,8.63,overcast clouds
274,Hollins,US,37.3413,-79.9431,65.1,58,40,6.91,scattered clouds
275,Tiznit,MA,29.5833,-9.5,59.05,39,0,10.6,clear sky
276,Semnan,IR,35.5729,53.3971,44.44,45,40,0.0,scattered clouds
277,Sevenoaks,GB,51.27,0.1928,44.73,68,0,8.05,clear sky
278,Samarkand,UZ,39.6542,66.9597,45.82,93,100,13.8,overcast clouds
279,Almeirim,BR,-1.5233,-52.5817,87.3,60,75,4.14,broken clouds
280,Hovd,MN,48.0056,91.6419,2.03,82,74,1.36,broken clouds
281,Columbus,US,39.9612,-82.9988,43.88,77,100,3.44,overcast clouds
282,Giresun,TR,40.5,38.5,4.39,97,100,4.29,overcast clouds
283,Springfield,US,37.2153,-93.2982,44.44,94,100,6.91,overcast clouds
284,Zaozerne,UA,45.1582,33.2787,30.96,64,100,23.42,overcast clouds
285,Buraydah,SA,26.326,43.975,57.65,35,100,9.24,overcast clouds
286,Slatioara,RO,45.1167,23.9167,20.84,87,92,2.35,overcast clouds
287,Carauari,BR,-4.8828,-66.8958,81.36,80,91,1.32,overcast clouds
288,Karibib,NA,-21.9333,15.8333,77.76,49,8,18.07,clear sky
289,Ust-Barguzin,RU,53.45,108.9833,-4.22,97,98,3.49,overcast clouds
290,Bacolod,PH,10.6667,122.95,75.96,83,98,11.86,overcast clouds
291,Okhotsk,RU,59.3833,143.3,-21.82,83,18,10.6,few clouds
292,Nanortalik,GL,60.1432,-45.2371,27.16,89,100,6.2,snow
293,Pundaguitan,PH,6.3711,126.1689,79.3,78,98,8.14,overcast clouds
294,Katsuura,JP,35.1333,140.3,45.52,82,89,11.25,overcast clouds
295,Rapid City,US,44.0805,-103.231,47.73,48,0,8.99,clear sky
296,Tucumcari,US,35.1717,-103.725,39.94,86,0,3.44,clear sky
297,Okitipupa,NG,6.5047,4.7839,87.39,56,89,8.86,overcast clouds
298,Faanui,PF,-16.4833,-151.75,80.35,75,24,9.8,light rain
299,Srednekolymsk,RU,67.45,153.6833,-26.84,97,100,6.15,overcast clouds
300,Tete,MZ,-16.1564,33.5867,87.89,66,75,3.44,broken clouds
301,Coquimbo,CL,-29.9533,-71.3436,67.73,77,75,11.5,broken clouds
302,Sao Bento,BR,-6.2833,-37.75,88.16,28,98,5.19,overcast clouds
303,Winslow,US,35.0242,-110.6974,26.78,59,0,3.44,clear sky
304,Magadan,RU,59.5667,150.8,-17.59,80,24,7.49,few clouds
305,Santa Helena,BR,-2.2311,-45.3,81.97,86,63,4.56,broken clouds
306,Sebring,US,27.4956,-81.4409,79.21,52,0,9.22,clear sky
307,Lata,PT,40.1629,-8.3327,56.91,59,44,10.69,scattered clouds
308,Sisimiut,GL,66.9395,-53.6735,-6.41,86,24,8.95,few clouds
309,Raudeberg,NO,61.9875,5.1352,46.96,73,100,48.36,overcast clouds
310,La Colmena,PY,-25.8833,-56.8167,103.32,18,17,5.5,few clouds
311,Guhagar,IN,17.4842,73.1929,73.56,53,49,5.17,scattered clouds
312,Ponta Delgada,PT,37.7333,-25.6667,57.92,72,75,11.5,broken clouds
313,Cabo Rojo,PR,18.0866,-67.1457,85.87,65,10,1.99,clear sky
314,Tucuman,AR,-26.8241,-65.2226,95.0,36,0,0.0,clear sky
315,Limbang,MY,4.75,115.0,77.11,97,99,2.53,overcast clouds
316,Langxiang,CN,46.95,128.8833,-5.96,100,83,2.19,broken clouds
317,Gravdal,NO,68.1214,13.5031,42.69,93,100,50.64,heavy intensity rain
318,Thessalon,CA,46.2501,-83.5666,37.69,90,55,12.44,broken clouds
319,Arinos,BR,-15.9169,-46.1056,92.37,38,7,3.29,clear sky
320,Carballo,ES,43.213,-8.691,58.42,73,0,3.56,clear sky
321,Tigil,RU,57.8,158.6667,-10.73,99,100,5.01,overcast clouds
322,Cleethorpes,GB,53.5605,-0.0323,44.85,56,86,10.36,overcast clouds
323,Muroto,JP,33.2833,134.15,49.48,62,32,9.64,scattered clouds
324,Olinda,BR,-8.0089,-34.8553,83.93,65,75,9.22,broken clouds
325,Soyo,AO,-6.1349,12.3689,82.2,76,46,13.18,scattered clouds
326,Luderitz,NA,-26.6481,15.1594,68.49,75,0,22.21,clear sky
327,Zamardi,HU,46.8849,17.9537,33.94,60,7,8.01,clear sky
328,Mahebourg,MU,-20.4081,57.7,80.89,74,40,4.61,light rain
329,Sompeta,IN,18.9333,84.6,71.78,83,94,8.37,overcast clouds
330,Kodiak,US,57.79,-152.4072,15.31,79,0,3.44,clear sky
331,Mackay,AU,-21.15,149.2,78.67,83,100,25.59,overcast clouds
332,Taquaritinga,BR,-21.4061,-48.5047,82.63,63,57,4.45,broken clouds
333,Pichayevo,RU,53.2363,42.2032,11.64,96,53,6.51,broken clouds
334,Bira,RU,49.0,132.4667,-20.43,96,7,4.16,clear sky
335,Kachug,RU,53.9606,105.8817,-7.46,100,93,0.25,overcast clouds
336,Doha,QA,25.2867,51.5333,68.31,49,0,18.41,clear sky
337,Lucapa,AO,-8.4192,20.7447,65.21,98,99,4.07,moderate rain
338,La Asuncion,VE,11.0333,-63.8628,79.45,74,12,14.5,few clouds
339,Pokhara,NP,28.2333,83.9833,54.91,57,36,5.41,scattered clouds
340,Shancheng,CN,34.7953,116.0817,41.43,72,100,10.96,moderate rain
341,Kabin Buri,TH,13.9511,101.7177,81.32,66,14,4.12,few clouds
342,Kodinsk,RU,58.6881,99.1844,12.79,97,100,3.47,overcast clouds
343,Aykhal,RU,66.0,111.5,-39.57,100,60,4.92,broken clouds
344,Aklavik,CA,68.2191,-135.0107,-20.2,76,75,0.0,light snow
345,Boardman,US,41.0242,-80.6628,42.26,63,45,1.01,scattered clouds
